year,month,authorLocation,index,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,8,Orkney,149,6,0.0,0.0,0.0,0.0,0.0
2019,8,Perth and Kinross,150,41,0.0,1.0,0.0,1.0,0.0
2019,8,Renfrewshire,151,117,0.0,0.0,0.0,0.0,0.0
2019,8,Scottish Borders,152,69,0.0,0.0,0.0,0.0,0.0
2019,8,Shetland,153,3,0.0,0.0,0.0,0.0,0.0
2019,8,South Ayrshire,154,74,0.0,0.0,0.0,0.0,0.0
2019,8,South Lanarkshire,155,211,0.0,0.0,0.0,0.0,0.0
2019,8,Stirling,156,60,0.0,0.0,0.0,0.0,0.0
2019,8,West Dunbartonshire,157,73,0.0,2.0,0.0,2.0,0.0
2019,8,West Lothian,158,109,0.0,0.0,0.0,0.0,0.0
2019,8,Western Isles - Eilean Siar,159,2,0.0,0.0,0.0,0.0,0.0
2019,9,Aberdeen,160,115,1.0,0.0,0.0,1.0,1.0
2019,9,Aberdeenshire,161,71,0.0,0.0,0.0,0.0,0.0
2019,9,Angus,162,47,1.0,0.0,0.0,1.0,1.0
2019,9,Argyll and Bute,163,73,0.0,0.0,0.0,0.0,0.0
2019,9,Clackmannanshire,164,45,0.0,0.0,0.0,0.0,0.0
2019,9,Dumfries and Galloway,165,144,0.0,0.0,0.0,0.0,0.0
2019,9,Dundee,166,92,0.0,0.0,0.0,0.0,0.0
2019,9,East Ayrshire,167,50,0.0,0.0,0.0,0.0,0.0
2019,9,East Dunbartonshire,168,45,0.0,0.0,0.0,0.0,0.0
2019,9,East Lothian,169,54,1.0,0.0,0.0,1.0,1.0
2019,9,East Renfrewshire,170,41,0.0,0.0,0.0,0.0,0.0
2019,9,Edinburgh,171,244,0.0,1.0,0.0,1.0,0.0
2019,9,Falkirk,172,146,0.0,0.0,0.0,0.0,0.0
2019,9,Fife,173,226,2.0,0.0,0.0,2.0,1.0
2019,9,Glasgow,174,552,7.0,1.0,2.0,10.0,0.7
2019,9,Highland,175,93,0.0,1.0,0.0,1.0,0.0
2019,9,Inverclyde,176,51,0.0,0.0,0.0,0.0,0.0
2019,9,Midlothian,177,66,0.0,0.0,0.0,0.0,0.0
2019,9,Moray,178,39,0.0,0.0,0.0,0.0,0.0
2019,9,North Ayrshire,179,131,0.0,0.0,0.0,0.0,0.0
2019,9,North Lanarkshire,180,282,2.0,0.0,0.0,2.0,1.0
2019,9,Orkney,181,5,0.0,0.0,0.0,0.0,0.0
2019,9,Perth and Kinross,182,44,0.0,0.0,0.0,0.0,0.0
2019,9,Renfrewshire,183,93,4.0,1.0,0.0,5.0,0.8
2019,9,Scottish Borders,184,79,1.0,0.0,0.0,1.0,1.0
2019,9,Shetland,185,2,0.0,0.0,0.0,0.0,0.0
2019,9,South Ayrshire,186,85,0.0,0.0,1.0,1.0,0.0
2019,9,South Lanarkshire,187,235,4.0,3.0,1.0,8.0,0.5
2019,9,Stirling,188,57,1.0,0.0,0.0,1.0,1.0
2019,9,West Dunbartonshire,189,83,0.0,0.0,0.0,0.0,0.0
2019,9,West Lothian,190,64,0.0,1.0,0.0,1.0,0.0
2019,9,Western Isles - Eilean Siar,191,10,0.0,0.0,0.0,0.0,0.0
2019,10,Aberdeen,192,127,0.0,0.0,0.0,0.0,0.0
2019,10,Aberdeenshire,193,81,0.0,1.0,0.0,1.0,0.0
2019,10,Angus,194,48,0.0,0.0,0.0,0.0,0.0
2019,10,Argyll and Bute,195,53,0.0,0.0,0.0,0.0,0.0
2019,10,Clackmannanshire,196,42,0.0,0.0,0.0,0.0,0.0
2019,10,Dumfries and Galloway,197,115,0.0,0.0,0.0,0.0,0.0
2019,10,Dundee,198,103,0.0,0.0,1.0,1.0,0.0
2019,10,East Ayrshire,199,78,1.0,0.0,0.0,1.0,1.0
2019,10,East Dunbartonshire,200,33,0.0,0.0,0.0,0.0,0.0
2019,10,East Lothian,201,46,0.0,0.0,0.0,0.0,0.0
2019,10,East Renfrewshire,202,16,0.0,0.0,0.0,0.0,0.0
2019,10,Edinburgh,203,276,0.0,1.0,0.0,1.0,0.0
2019,10,Falkirk,204,162,1.0,0.0,0.0,1.0,1.0
2019,10,Fife,205,183,0.0,0.0,0.0,0.0,0.0
2019,10,Glasgow,206,553,1.0,0.0,0.0,1.0,1.0
2019,10,Highland,207,92,0.0,2.0,0.0,2.0,0.0
2019,10,Inverclyde,208,34,0.0,0.0,0.0,0.0,0.0
2019,10,Midlothian,209,59,0.0,0.0,0.0,0.0,0.0
2019,10,Moray,210,35,0.0,0.0,0.0,0.0,0.0
2019,10,North Ayrshire,211,99,0.0,0.0,0.0,0.0,0.0
2019,10,North Lanarkshire,212,299,0.0,0.0,0.0,0.0,0.0
2019,10,Orkney,213,4,0.0,0.0,0.0,0.0,0.0
2019,10,Perth and Kinross,214,51,0.0,0.0,0.0,0.0,0.0
2019,10,Renfrewshire,215,103,2.0,2.0,0.0,4.0,0.5
2019,10,Scottish Borders,216,72,0.0,0.0,0.0,0.0,0.0
2019,10,Shetland,217,6,0.0,0.0,0.0,0.0,0.0
2019,10,South Ayrshire,218,80,0.0,0.0,0.0,0.0,0.0
2019,10,South Lanarkshire,219,227,2.0,0.0,0.0,2.0,1.0
2019,10,Stirling,220,61,0.0,0.0,0.0,0.0,0.0
2019,10,West Dunbartonshire,221,73,0.0,0.0,0.0,0.0,0.0
2019,10,West Lothian,222,97,0.0,0.0,0.0,0.0,0.0
2019,10,Western Isles - Eilean Siar,223,9,0.0,0.0,0.0,0.0,0.0
2019,11,Aberdeen,224,108,0.0,0.0,0.0,0.0,0.0
2019,11,Aberdeenshire,225,75,0.0,0.0,0.0,0.0,0.0
2019,11,Angus,226,32,0.0,0.0,0.0,0.0,0.0
2019,11,Argyll and Bute,227,52,0.0,0.0,0.0,0.0,0.0
2019,11,Clackmannanshire,228,33,0.0,0.0,0.0,0.0,0.0
2019,11,Dumfries and Galloway,229,141,0.0,0.0,0.0,0.0,0.0
2019,11,Dundee,230,124,0.0,0.0,0.0,0.0,0.0
2019,11,East Ayrshire,231,57,0.0,1.0,0.0,1.0,0.0
2019,11,East Dunbartonshire,232,41,0.0,0.0,0.0,0.0,0.0
2019,11,East Lothian,233,57,1.0,0.0,0.0,1.0,1.0
2019,11,East Renfrewshire,234,13,0.0,0.0,0.0,0.0,0.0
2019,11,Edinburgh,235,251,0.0,0.0,0.0,0.0,0.0
2019,11,Falkirk,236,120,0.0,0.0,0.0,0.0,0.0
2019,11,Fife,237,236,0.0,0.0,0.0,0.0,0.0
2019,11,Glasgow,238,555,7.0,4.0,0.0,11.0,0.6363636363636364
2019,11,Highland,239,102,2.0,0.0,0.0,2.0,1.0
2019,11,Inverclyde,240,33,0.0,0.0,0.0,0.0,0.0
2019,11,Midlothian,241,46,0.0,0.0,0.0,0.0,0.0
2019,11,Moray,242,36,0.0,0.0,0.0,0.0,0.0
2019,11,North Ayrshire,243,81,0.0,0.0,0.0,0.0,0.0
2019,11,North Lanarkshire,244,269,0.0,0.0,0.0,0.0,0.0
2019,11,Orkney,245,3,0.0,0.0,0.0,0.0,0.0
2019,11,Perth and Kinross,246,53,0.0,0.0,0.0,0.0,0.0
2019,11,Renfrewshire,247,101,1.0,0.0,0.0,1.0,1.0
2019,11,Scottish Borders,248,61,0.0,0.0,0.0,0.0,0.0
2019,11,Shetland,249,8,0.0,0.0,0.0,0.0,0.0
2019,11,South Ayrshire,250,68,0.0,0.0,0.0,0.0,0.0
2019,11,South Lanarkshire,251,203,0.0,0.0,0.0,0.0,0.0
2019,11,Stirling,252,51,0.0,0.0,0.0,0.0,0.0
2019,11,West Dunbartonshire,253,66,0.0,0.0,0.0,0.0,0.0
2019,11,West Lothian,254,76,0.0,0.0,0.0,0.0,0.0
2019,11,Western Isles - Eilean Siar,255,11,0.0,0.0,0.0,0.0,0.0
2019,12,Aberdeen,256,115,2.0,0.0,0.0,2.0,1.0
2019,12,Aberdeenshire,257,69,0.0,0.0,0.0,0.0,0.0
2019,12,Angus,258,46,0.0,0.0,0.0,0.0,0.0
2019,12,Argyll and Bute,259,50,0.0,0.0,0.0,0.0,0.0
2019,12,Clackmannanshire,260,34,0.0,0.0,0.0,0.0,0.0
2019,12,Dumfries and Galloway,261,122,0.0,0.0,0.0,0.0,0.0
2019,12,Dundee,262,111,0.0,0.0,0.0,0.0,0.0
2019,12,East Ayrshire,263,76,0.0,0.0,0.0,0.0,0.0
2019,12,East Dunbartonshire,264,36,0.0,0.0,0.0,0.0,0.0
2019,12,East Lothian,265,39,0.0,0.0,0.0,0.0,0.0
2019,12,East Renfrewshire,266,18,0.0,0.0,0.0,0.0,0.0
2019,12,Edinburgh,267,279,3.0,3.0,0.0,6.0,0.5
2019,12,Falkirk,268,149,0.0,0.0,0.0,0.0,0.0
2019,12,Fife,269,202,0.0,0.0,0.0,0.0,0.0
2019,12,Glasgow,270,581,9.0,3.0,3.0,15.0,0.6
2019,12,Highland,271,86,0.0,1.0,0.0,1.0,0.0
2019,12,Inverclyde,272,51,1.0,0.0,0.0,1.0,1.0
2019,12,Midlothian,273,62,0.0,0.0,0.0,0.0,0.0
2019,12,Moray,274,44,0.0,0.0,0.0,0.0,0.0
2019,12,North Ayrshire,275,94,0.0,1.0,0.0,1.0,0.0
2019,12,North Lanarkshire,276,315,0.0,1.0,0.0,1.0,0.0
2019,12,Orkney,277,8,0.0,0.0,0.0,0.0,0.0
2019,12,Perth and Kinross,278,45,1.0,0.0,0.0,1.0,1.0
2019,12,Renfrewshire,279,107,1.0,0.0,0.0,1.0,1.0
2019,12,Scottish Borders,280,59,0.0,0.0,0.0,0.0,0.0
2019,12,Shetland,281,2,0.0,0.0,0.0,0.0,0.0
2019,12,South Ayrshire,282,73,0.0,0.0,0.0,0.0,0.0
2019,12,South Lanarkshire,283,205,0.0,1.0,0.0,1.0,0.0
2019,12,Stirling,284,57,0.0,1.0,0.0,1.0,0.0
2019,12,West Dunbartonshire,285,86,0.0,0.0,0.0,0.0,0.0
2019,12,West Lothian,286,82,7.0,0.0,0.0,7.0,1.0
2019,12,Western Isles - Eilean Siar,287,11,0.0,0.0,0.0,0.0,0.0
2020,1,Aberdeen,288,122,0.0,0.0,0.0,0.0,0.0
2020,1,Aberdeenshire,289,68,0.0,0.0,0.0,0.0,0.0
2020,1,Angus,290,30,2.0,1.0,0.0,3.0,0.6666666666666666
2020,1,Argyll and Bute,291,54,1.0,0.0,0.0,1.0,1.0
2020,1,Clackmannanshire,292,30,0.0,0.0,0.0,0.0,0.0
2020,1,Dumfries and Galloway,293,136,1.0,0.0,1.0,2.0,0.5
2020,1,Dundee,294,100,1.0,1.0,0.0,2.0,0.5
2020,1,East Ayrshire,295,66,0.0,0.0,0.0,0.0,0.0
2020,1,East Dunbartonshire,296,38,0.0,0.0,0.0,0.0,0.0
2020,1,East Lothian,297,55,0.0,0.0,0.0,0.0,0.0
2020,1,East Renfrewshire,298,24,0.0,0.0,0.0,0.0,0.0
2020,1,Edinburgh,299,256,0.0,1.0,1.0,2.0,0.0
2020,1,Falkirk,300,103,0.0,0.0,0.0,0.0,0.0
2020,1,Fife,301,248,0.0,0.0,0.0,0.0,0.0
2020,1,Glasgow,302,491,8.0,6.0,1.0,15.0,0.5333333333333333
2020,1,Highland,303,95,1.0,1.0,0.0,2.0,0.5
